ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
,TC ROTTERSAC AHLSTROM,DORDOGNE,,,0,0,20,21,4,4,Non
13240036,PERIGUEUX CA,DORDOGNE,24000,PERIGUEUX,6,5,366,444,35,37,Oui
13240039,COPO,DORDOGNE,24000,PERIGUEUX,5,1,57,66,7,9,Oui
13240525,BERGERAC TENNIS CLUB,DORDOGNE,24100,BERGERAC,7,2,308,330,31,29,Oui
13240658,BERGERAC US TENNIS,DORDOGNE,24100,BERGERAC,6,3,192,275,27,28,Oui
13240488,LEMBRAS TC,DORDOGNE,24100,LEMBRAS,2,0,47,63,6,6,Oui
13240595,SUD BERGERACOIS TC,DORDOGNE,24100,SAINT-LAURENT-DES-VIGNES,6,0,102,142,13,19,Oui
13240567,MONTREM MONTANCEIX,DORDOGNE,24110,MOMTREM,2,0,18,23,2,2,Oui
13240578,TAG ASTERIEN GRIGNOL,DORDOGNE,24110,ST ASTIER,3,2,138,211,11,10,Oui
13240209,TERRASSON TC,DORDOGNE,24120,TERRASSON,4,1,90,68,11,8,Oui
13240571,FORCE (LA) F RURAL,DORDOGNE,24130,LA FORCE,2,0,86,83,13,14,Oui
13240482,PRIGONRIEUX TC,DORDOGNE,24130,PRIGONRIEUX,3,1,67,92,8,7,Oui
13240477,VILLAMBLARD TC,DORDOGNE,24140,VILLAMBLARD,2,0,28,44,3,4,Oui
13240420,COUZE ST FRONT TC,DORDOGNE,24150,COUZE ST FRONT,2,0,28,46,8,10,Oui
13240208,LALINDE TC,DORDOGNE,24150,LALINDE,3,0,60,74,14,13,Oui
13240199,EXCIDEUIL TC,DORDOGNE,24160,EXCIDEUIL,3,1,97,110,8,10,Oui
13240240,BELVES TC,DORDOGNE,24170,BELVES,3,0,22,29,1,1,Non
13240398,SIORAC TC,DORDOGNE,24170,SIORAC-EN-PERIGORD,2,0,47,71,3,3,Oui
13240187,NEUVIC TC,DORDOGNE,24190,NEUVIC,2,1,58,66,5,5,Oui
13240106,SARLAT TC,DORDOGNE,24200,SARLAT,4,3,274,375,24,28,Oui
13240279,PERIGORD NOIR TC,DORDOGNE,24200,VITRAC,6,0,45,53,10,11,Oui
13240317,COUX TC,DORDOGNE,24220,LE COUX,3,0,59,93,14,15,Oui
13240343,ST CYPRIEN TC,DORDOGNE,24220,SAINT-CYPRIEN,1,1,8,0,0,0,Oui
13240637,MONTRAVEL TC,DORDOGNE,24230,SAINT-ANTOINE-DE-BREUILH,5,0,50,80,7,8,Oui
13240388,CENAC-DOMME TC,DORDOGNE,24250,DOMME,3,1,11,7,0,0,Oui
13240131,BUGUE TC,DORDOGNE,24260,LE BUGUE,3,1,174,175,12,14,Oui
13240044,MONTIGNAC ES,DORDOGNE,24290,MONTIGNAC,2,1,56,62,5,7,Oui
13240058,NONTRON GUI STC,DORDOGNE,24300,NONTRON,5,1,104,156,9,6,Oui
13240469,BOURDEILLES TC,DORDOGNE,24310,BOURDEILLES,2,0,29,37,4,4,Oui
13240218,BRANTOME TC,DORDOGNE,24310,BRANTOME,3,1,84,96,9,13,Oui
13240498,BASSILLAC TC,DORDOGNE,24330,BASSILLAC,2,1,66,90,4,6,Oui
13240299,MAREUIL A C,DORDOGNE,24340,MAREUIL,2,1,56,57,9,5,Oui
13240403,LISLE TC,DORDOGNE,24350,LISLE,2,0,42,24,2,2,Oui
13240170,VERGT TC,DORDOGNE,24380,VERGT,2,1,81,92,6,6,Oui
13240095,MUSSIDAN TC,DORDOGNE,24400,MUSSIDAN,2,1,58,88,6,6,Oui
13240577,ST LAURENT DES HOM,DORDOGNE,24400,ST LAURENT DES HOMMES,1,0,18,26,0,0,Oui
13240221,ST AULAYE TC,DORDOGNE,24410,SAINT-AULAYE,3,1,71,69,6,6,Oui
13240662,ANTONNE TENNIS CLUB,DORDOGNE,24420,ANTONNE,2,0,12,13,2,1,Non
