fedid,name,ligue,zip,city,outdoor,indoor,countPlayers,countPlayers1AN,countTeams,countTeams1AN,school
01670005,AS CHEMINOTS DE STRASBOURG,BAS RHIN,67000,STRASBOURG,3,1,58,66,3,6,Oui
01670012,TENNIS CLUB EUROPE,BAS RHIN,67000,STRASBOURG,4,0,47,138,0,1,Oui
01670008,ILL T.C. STRASBOURG,BAS RHIN,67000,STRASBOURG ROBERTSAU,4,5,638,679,11,28,Oui
01670011,T.C. MEINAU,BAS RHIN,67100,STRASBOURG,8,2,268,285,7,23,Oui
01670186,S.L. CONSTANTIA,BAS RHIN,67100,STRASBOURG,2,0,9,9,0,2,Oui
01670019,T.C. NIEDERBRONN,BAS RHIN,67110,NIEDERBRONN,4,1,69,84,3,10,Oui
01670139,A.S. ET C.BREUCHWICKERSHEIM,BAS RHIN,67112,BREUCHWICKERSHEIM,2,0,65,89,1,12,Oui
01670287,TENNIS CLUB DE PLOBSHEIM,BAS RHIN,67115,PLOBSHEIM,3,2,152,158,6,18,Oui
01670298,FURDENHEIM AS CULT. SP. LOISIR,BAS RHIN,67117,FURDENHEIM,2,0,51,82,2,9,Oui
01670059,A.S. GEISPOLSHEIM-GARE,BAS RHIN,67118,GEISPOLSHEIM GARE,4,2,188,244,9,26,Oui
01670263,SPORT ET DETENTE DORLISHEIM,BAS RHIN,67120,DORLISHEIM,2,0,21,26,1,2,Non
01670174,LA CONCORDE 1913 DUTTLENHEIM,BAS RHIN,67120,DUTTLENHEIM,2,0,36,43,1,3,Oui
01670023,TCVB SCHIRMECK,BAS RHIN,67130,SCHIRMECK,4,2,162,215,6,19,Oui
01670129,T.C. D'ANDLAU,BAS RHIN,67140,ANDLAU,2,0,8,29,1,3,Oui
01670016,TC ERSTEIN,BAS RHIN,67150,ERSTEIN,4,1,220,224,7,18,Oui
01670245,CERCLE ST-ETIENNE HINDISHEIM,BAS RHIN,67150,HINDISHEIM,2,0,7,33,0,2,Non
01670202,SPORT DETENTE NORDHOUSE,BAS RHIN,67150,NORDHOUSE,2,0,15,14,1,2,Oui
01670347,TC SCHLEITHAL,BAS RHIN,67160,SCHLEITHAL,2,1,93,101,6,19,Oui
01670219,TENNIS CLUB STEINSELTZ,BAS RHIN,67160,STEINSELTZ,2,0,48,87,10,19,Oui
01670325,T.C. BERNOLSHEIM,BAS RHIN,67170,BERNOLSHEIM,1,0,0,6,0,0,Non
