Name,City
4ème Set Rognen,Rognes
A B Chapelle d'Armentières,La Chapelle-d'Armentières
A Badminton Du Canton De Fayence,Fayence/Montauroux
A S Badminton Cintré,Cintré
A. B. C. Coulounieix Chamiers,Coulounieix-Chamiers
A. De Badminton De Genilac,Genilac
A. et P. Ecoles Laiques De Begles,Bègles
A. L. Badminton Club Briochin,Saint-Brieuc
A. L. Du Palais/vienne-badminton,Le Palais-sur-Vienne
A. Maissoise De Badminton,Maisse
A. O. Geromoise Badminton Club,Gérardmer
A. O. Westhoffen Badminton,Westhoffen
A. Omnisport Trappiste-badminton,Trappes
A. S. B. Halluin,Halluin
A. S. Badminton Sorignois,Sorigny
A. S. L. Noyers Missy,Noyers-Bocage
A. S. Saint-Germain-lès-Arpajon Badminton,Saint-Germain-lès-Arpajon
A. Sport Saint Gratien Badminton,Saint-Gratien
A. Sport. Cheminots Nancy Bad.","Nancy
A. Sport. Cult.  St Barthelemy,Saint-Barthélemy-d'Anjou
A. Sport.etcult. Pessac Alouette,Pessac
A.b.c. Arbois,Arbois
A.b.st Etienne Au Mont,Saint-Étienne-au-Mont
A.l De Bourgbarre Badminton,Bourgbarré
A.o. Tourrette Levens,Tourrette-Levens
A.O.M. Badminton,Muides-sur-Loire
a.s bad chanusien,Chanu
A.s.  De Badminton Lorousaine,Le Loroux-Bottereau
A.s. Ayguesvivoise,Ayguesvives
A.s. Badminton Pont A Mousson,Pont-à-Mousson
A.s. Cheminots De Metz-badminton,Metz
A.s. Johnson Controls-Roth,Strasbourg
A.S. Ponts De Cé Badminton,Les Ponts-de-Cé
A.s. Toulouse Mirail Badminton,Toulouse
A.s.badminton Nogent,Nogent-sur-Vernisson
A.s.c. Sainte Afre Riedisheim,Riedisheim
A.S.Cheminots de Strasbourg,Strasbourg
A.s.l. Robertsau,Strasbourg
AccrosBad de la Côtière,Miribel
ADA Badminton,Blois
Aigrefeuille Sur Maine Badminton Club,Aigrefeuille-sur-Maine
Aigues-Vives Badminton,Aigues-Vives
Ailes Sportives Airbus Helicopter - Badminton,Marignane
Ailes Sportives Bouguenais Rezé,Rezé
Aillant Sport Badminton,Aillant-sur-Tholon
Ailly Badminton Club,Ailly-sur-Noye
Aix Universite Club Badminton,Aix-en-Provence
Aizenay Badminton,Aizenay
AJEVIF Badminton 13,Paris
Ajoncs D'Or BaDminton,Saint-Nolff
AL Badminton Plonéour-Lanvern,Plonéour-Lanvern
AL Gond Pontouvre badminton,Gond-Pontouvre
AL Ploemeur Badminton,Ploemeur
Albert Sport Badminton,Albert
Albi Badminton Club,Albi
ALC Longvic Badminton,Longvic
ALCEP Badminton Carquefou,Carquefou
Alerte Evron,Évron
Alerte Saint Jean - Badminton,Saint-Jean-de-la-Ruelle
Alerte Saint Jean De Boiseau,Saint-Jean-de-Boiseau
Alerte Sportive Fondettoise,Fondettes
ALJ Limay Badminton,Limay
Alliance Club Sportif Buzancais,Buzançais
Ambazac Badminton,Ambazac
Amic. Sport. des agents de la Métropole Nantaise,Nantes
Amicale Badminton de Nevers,Nevers
Amicale Badminton Spinolienne,Épinay-sur-Orge
Amicale de Badminton Stéphanois,Saint-Étienne-de-Montluc
Amicale Jeunes De Thorigny Bad,Thorigny-sur-Marne
Amicale Laique Badminton Luce,Lucé
Amicale Laique Césaire Levillain Badminton,Le Grand-Quevilly
Amicale Laique Chateaubriant,Châteaubriant
Amicale Laique de Bretigny-sur-Orge,Brétigny-sur-Orge
Amicale Laique De Bruz,Bruz
Amicale Laique De Cachan,Cachan
Amicale Laïque de Marquise,Marquise
Amicale Laique De Saint Flour,Saint-Flour
Amicale Laique de Sees,Sées
Amicale Laique De St Michel,Évreux
Amicale Laique De Toul Badminton,Toul
Amicale Laique Echirolles,Échirolles
Amicale Laique Eysines Badminton,Eysines
Amicale Laique Gouzon et Frjep,Gouzon
Amicale Laïque Hericourt,Héricourt
Amicale Laique Leucate,Leucate
Amicale Laique Lons Le Saunier,Lons-le-Saunier
Amicale Laique Marans Badminton,Marans
Amicale Laique Melesse,Melesse
Amicale Laique Redon Badminton,Redon
Amicale Laique St Martin Le V.","Saint-Martin-le-Vinoux
Amicale Laïque Tatinghem Badminton,Tatinghem
Amicale Laique Testerine,La Teste-de-Buch
Amicale Laique Villecresnes,Villecresnes
Amicale Manin Sport Paris-Est,Paris
Amicale Mermoz Courcy Badminton,Courcy et Saint Thierry
Amicale Sport. Harfleur Beaulieu,Harfleur
Amicale Sportive Noyalaise Bad.","Noyal-sur-Vilaine
Amiens Univ. Club Badminton,Amiens
Amis Du Badminton Chatenois,Châtenois
Ancemont Badminton,Ancemont
Ancenis Badminton Club,Ancenis
Andernos Badminton Club,Andernos-les-Bains
Andrezieux Bouthéon Badminton Club,Andrézieux-Bouthéon
Anduze Badminton Club,Anduze
Anet Bu Badminton Club,Anet
Anille Braye Omnisport Inter.","Saint-Calais
Annecy Badminton Club,Annecy
Apt Badminton Club,Apt
Arc Badminton Club,Arc-sur-Tille
Archépontain Badminton Club,Pont-de-l'Arche
Ardon Badminton Club,Ardon
Argoët Badminton Elven,Elven
Ars Badminton Club,Ars-sur-Moselle
Art et Culture 15eme,Paris
Artenay Badminton Club,Artenay
AS BAD 87 LIMOGES,Limoges
As Badminton De Montlouis,Montlouis-sur-Loire
As Badminton House,Paris
As Centre D'essais Aeronautique,Toulouse
As Courdimanche,Courdimanche
As Des Cheminots Et Villeneuvois,Villeneuve-Saint-Georges
As Du Volant,Taverny/Saint Leu la Forêt
As Municipaux Rennes Metropole,Rennes
AS Ripault Badminton,Monts
AS Sapeurs Pompiers Rhone Bad.","Villeurbanne
As. A. et S. De Clery Saint Andre,Cléry-Saint-André
As. Bad. Crehange Faulquemont,Créhange et faulquemont
As.sportive Lamottoise,Lamotte-Beuvron
ASC Badminton Club Reiningue,Reiningue
Asl Badminton,Libourne
ASLB Kembs,Kembs
ASP Porcheville,Porcheville
Aspb Bergerac,Bergerac
Asptt Agen,Agen
Asptt Badminton Annecy,Annecy
Asptt Badminton Besançon,Besançon
Asptt Bourg en Bresse,Bourg-en-Bresse
Asptt Castres Badminton,Castres
Asptt Cayenne,Cayenne
Asptt Chalons En Champagne,Châlons-en-Champagne
Asptt De Limoges,Limoges
Asptt Marseille,Marseille
Asptt Montlucon Badminton,Montluçon
Asptt Paris,Paris
ASPTT Pau Badminton,Pau
ASPTT REIMS,Reims
Asptt Strasbourg,Strasbourg
ASPTT Vannes Badminton,Vannes
Ass  Les Fous Du Volant,Forcalquier
Ass Crolloise Badminton,Crolles
Ass De Badminton De Soustons,Soustons
Ass Développement Social et Culturel Région Plélan,Plélan-le-Grand
Ass Les Volants Du Temple,Le Temple-de-Bretagne
Ass Sport Culturelle Hanches Bad,Hanches
Ass Sportive De L'huisserie,L'Huisserie
Ass Sportive Rochettoise de Badminton,La Rochette
Ass Sportive Spaciale Aquitaine,Saint-Médard-en-Jalles
Ass. Amic. Sport. Sarcelles badminton,Sarcelles
Ass. Amicale Sport. Fresnes,Fresnes
Ass. Badminton Bourgogne Avallon,Avallon
Ass. Badminton Cernoise du volant,Cerny
Ass. Badminton Club Dionysien,Saint-Denis
Ass. Badminton Nusantara Paris,Paris
Ass. Badminton St Maurice,Saint-Maurice
Ass. Club Des Jeunes Du Plateau,Saint-Lupicin
Ass. Des Castelbourgeois Volants,Châteaubourg
Ass. Ligerienne Bad. Basse-Goulaine,Basse-Goulaine
Ass. Longjumelloise Badminton,Longjumeau
Ass. Mayennaise De Badminton,Mayenne
Ass. Orgeroise De Badminton,Orgères
Ass. Rambolitaine De Badminton,Rambouillet
Ass. Spor. Hewlett-packard,Grenoble
Ass. Sport. Bad A Brax,Brax
Ass. Sport. Bad. Genestonnaise,Geneston
Ass. Sport. Cult. Automobiles Peugeot,Montbéliard
Ass. Sport. Egly,Égly
Ass. Sport. et Cult. de l'AIA de Clermont Ferrand,Clermont-Ferrand
Ass. Sport. Etrechy,Étréchy
Ass. Sport. Evry,Évry
Ass. Sport. Fontenay Badminton,Fontenay-aux-Roses
Ass. Sport. Fontenay Le Fleury,Fontenay-le-Fleury
Ass. Sport. Mesnil St Denis,Le Mesnil-Saint-Denis
Ass. Sport. Mun. Chambourcy,Chambourcy
Ass. Sport. Plessis-savigny,Savigny-le-Temple
Ass. Sport. Sonchamp,Sonchamp
Ass. Sport. Vierzon Badminton,Vierzon
Ass. Sportive de Badminton,Nouzonville
Ass. Sportive de Gévezé - Badminton,Gévezé
Ass. Sportive De Ventabren,Ventabren
Ass. Sportive et Culturelle au Coeur des Graves,Saint-Selve
Ass. Sportive et Loisir Club Normand Aircelle,HARFLEUR MAYVILLE
Ass. Sportive Gournaisienne,Gournay-en-Bray
Ass. Sportive Louveciennes,Louveciennes
Ass. Sportive Luzarchoise,Luzarches
Ass. Sports Et Loisirs Conde s/ Sarthe,Condé-sur-Sarthe
Ass. St Maurice Du Perreux,Le Perreux-sur-Marne
Ass. Thiaisienne Badminton,Thiais
Ass.pers.spt.adm. Seine St Denis,Bobigny
Ass.person. Adm. Paris,Paris
Ass.sm Pau,Pau
Ass.spor. Credit Mutuel Bretagne,Rennes
Ass.sport. Bourg La Reine,Bourg-la-Reine
Ass.sport. De Villennes/seine,Villennes-sur-Seine
Ass.sport.du Mesnil Le Roi,Le Mesnil-le-Roi
Asso Badminton Champenois,Reims
Asso. Culture Et Loisirs Gramat,Gramat
Asso. Spor.omni.montenay Sec Bad,Montenay
Asso. Sport. Saint-Junien,Saint-Junien
Asso.sport. Et Loisirs De Bad.","Saint-Brevin-les-Pins
Asso.sportive De La Jeunesse,La Chaussée-Saint-Victor
Asso.Sportive Indépendante.bad.murs Erigne,Mûrs-Erigné
Asso.sportive Tonnerroise,Tonnerre
Asso.Unite Voisinage de la Roue,Rillieux-la-Pape
Assoc Sporti Badminton Portois,Le Port
Assoc. Badminton Club St Nazaire,Saint-Nazaire
Assoc. Sportive Crepynoise de Badminton,Crépy-en-Valois
Assoc.sport.et Corpo.municip.","Dijon
Assoc.sportive Hainnevillaise,Équeurdreville-Hainneville
Assoc.sportive Quetignoise,Quetigny
Assocation De Bad. Cosacien,Choisy-au-Bac
Associat. Badminton Pithiviers,Pithiviers
Association  Presloise de Badminton,Presles
Association Bad In Lez,Castelnau-le-Lez
Association Badminton Beconnais,Bécon-les-Granits
Association Badminton Carrouges,Carrouges
Association Badminton Club de Chouzy sur Cisse,Chouzy-sur-Cisse
Association Badminton Club De Dumbea,Dumbea
Association Badminton Club Domératois,Domérat
Association Badminton Club Mertzwiller,Mertzwiller
Association Badminton Combeaufontaine,Combeaufontaine
Association Badminton Commercy,Commercy
Association Badminton Coudekerque Branche,Coudekerque-Branche
Association Badminton Croix Daurade,Toulouse
ASSOCIATION BADMINTON DE COUPVRAY,Coupvray
Association Badminton De Mably,Mably
Association Badminton des 3 Rivières,Montmerle-sur-Saône
Association Badminton Loisir Sologne des Etangs,Neung-sur-Beuvron
Association Badminton Meyenheim,Meyenheim
Association Badminton Monsoise,Mons en Baroeul
Association Badminton Salbris,Salbris
Association Boos Badminton,Boos
Association Club Loisirs et Fêtes - Badminton,Fossé
Association Cregy Meaux Sports,Crégy-lès-Meaux
Association de  Badminton de Châtillon,Châtillon
Association de Badminton  de Sartilly,Sartilly
Association de Badminton d'Amanlis,Amanlis
Association de BadMinton de Caden,Caden
Association de Badminton de Chabanais,Chabanais
Association de Badminton de Conty,Conty
Association de Badminton de Corcoué sur Logne,Corcoué-sur-Logne
Association de Badminton de Foix,Foix
Association des Loisirs de Brecé Badminton,Brécé
Association du Volant Meyssacois,Meyssac
Association Familiale de Sundhoffen,Sundhoffen
Association Familles Rurales,Deville
