ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
,Snecma Sports Corbeil,Comité de la LIGUE ESSONNE,,,0,0,8,16,3,2,Non
31910099,A.S. EVRY,Comité de la LIGUE ESSONNE,91000,EVRY,9,4,315,313,20,24,Oui
31910461,BONDOUFLE A.C.,Comité de la LIGUE ESSONNE,91070,BONDOUFLE,6,2,237,243,22,19,Oui
31910019,A.S.P.T.T. EVRY,Comité de la LIGUE ESSONNE,91080,COURCOURONNES,4,0,17,21,8,11,Oui
31910442,C.O. COURCOURONNES,Comité de la LIGUE ESSONNE,91080,COURCOURONNES,7,2,217,222,10,15,Oui
31910023,T.C. LISSES,Comité de la LIGUE ESSONNE,91090,LISSES,5,2,182,215,18,16,Oui
31910028,COSEG CORBEIL,Comité de la LIGUE ESSONNE,91090,LISSES,4,2,49,61,12,13,Oui
31910073,A.S. CORBEIL ESSONNES,Comité de la LIGUE ESSONNE,91100,CORBEIL ESSONNES,9,4,313,369,20,20,Oui
31910128,T.C. VILLABE,Comité de la LIGUE ESSONNE,91100,VILLABE,1,1,127,78,16,10,Oui
31910093,T.C. ECOLE POLYTECHNIQUE,Comité de la LIGUE ESSONNE,91120,PALAISEAU,6,2,147,165,8,8,Oui
31910183,T.C. PALAISEAU,Comité de la LIGUE ESSONNE,91120,PALAISEAU,8,3,493,519,22,25,Oui
31910207,U.S. RIS ORANGIS,Comité de la LIGUE ESSONNE,91130,RIS ORANGIS,6,3,293,327,14,16,Oui
31910249,CLUB LA THEUILLERIE,Comité de la LIGUE ESSONNE,91130,RIS ORANGIS,2,0,21,32,5,5,Oui
31910475,T.C. VILLEBON,Comité de la LIGUE ESSONNE,91140,VILLEBON SUR YVETTE,6,3,424,422,17,19,Oui
31910094,C.T. VILLEJUST,Comité de la LIGUE ESSONNE,91140,VILLEJUST,3,1,130,138,19,18,Oui
31910048,ENTRAIDE BARTHELEMY DURAND,Comité de la LIGUE ESSONNE,91150,ETAMPES,3,2,5,5,3,2,Oui
31910096,T.C. ETAMPES,Comité de la LIGUE ESSONNE,91150,ETAMPES,5,2,334,352,13,14,Oui
31910074,T.C. MORIGNY-CHAMPIGNY,Comité de la LIGUE ESSONNE,91150,MORIGNY CHAMPIGNY,4,2,195,203,20,18,Oui
31910144,T.C. DE LA JUINE,Comité de la LIGUE ESSONNE,91150,ORMOY LA RIVIERE,4,0,94,101,10,8,Oui
31910038,A.S. BALLAINVILLIERS TENNIS,Comité de la LIGUE ESSONNE,91160,BALLAINVILLIERS,4,3,269,297,26,24,Oui
31910495,T.C. CHAMPLAN,Comité de la LIGUE ESSONNE,91160,CHAMPLAN,3,1,91,111,12,10,Oui
31910141,T.C. LONGJUMEAU,Comité de la LIGUE ESSONNE,91160,LONGJUMEAU,6,4,460,529,30,27,Oui
31910501,A.S. SAULX LES CHARTREUX,Comité de la LIGUE ESSONNE,91160,SAULX LES CHARTREUX,0,1,60,48,0,0,Oui
31910127,T.C. JUVISY,Comité de la LIGUE ESSONNE,91170,VIRY CHATILLON,3,0,164,207,14,16,Oui
31910285,E.S. VIRY-CHATILLON,Comité de la LIGUE ESSONNE,91172,VIRY CHATILLON,7,3,396,373,20,18,Oui
31910075,A.S. ST GERMAIN LES ARPAJON,Comité de la LIGUE ESSONNE,91180,ST GERMAIN LES ARPAJON,3,1,115,114,4,4,Oui
31910002,A.S. C.E.A. SACLAY,Comité de la LIGUE ESSONNE,91190,GIF SUR YVETTE,2,1,58,71,15,14,Non
31910057,T.C. SUPELEC,Comité de la LIGUE ESSONNE,91190,GIF SUR YVETTE,1,1,16,10,2,3,Oui
31910114,T.C. GIF SUR YVETTE,Comité de la LIGUE ESSONNE,91190,GIF SUR YVETTE,6,2,305,306,21,20,Oui
31910439,CLUB CHEVRY II,Comité de la LIGUE ESSONNE,91190,GIF SUR YVETTE,11,4,746,820,24,24,Oui
31910058,T.C. ST AUBIN,Comité de la LIGUE ESSONNE,91190,ST AUBIN,3,0,88,93,9,8,Oui
31910124,A.S. VILLIERS LE BACLE,Comité de la LIGUE ESSONNE,91190,VILLIERS LE BACLE,2,2,104,125,14,16,Oui
31910013,U.S.O. ATHIS MONS,Comité de la LIGUE ESSONNE,91200,ATHIS MONS,6,4,451,436,36,29,Oui
